,scenario,forcing,base_period,year,p05,p16,p50,p84,p95
48,ssp119,ch4,2020,2068,-0.13872595883289063,-0.1204433793329938,-0.09624820696720482,-0.07462291010692362,-0.06297272788805945
49,ssp119,ch4,2020,2069,-0.14129696190603974,-0.12254843967920201,-0.0979544875114019,-0.07587810168457078,-0.06405108916190275
50,ssp119,ch4,2020,2070,-0.1439725714050692,-0.12459593608816713,-0.09949683372148477,-0.07715432510248814,-0.06509953303545486
51,ssp119,ch4,2020,2071,-0.14648799531454704,-0.12675031817418156,-0.1011924617720037,-0.07838915434284278,-0.06617962836303651
52,ssp119,ch4,2020,2072,-0.14884430905409335,-0.1287703859115611,-0.10282937600922959,-0.07958682024544822,-0.06720513985079989
53,ssp119,ch4,2020,2073,-0.1512862535643614,-0.13081606478672572,-0.10433332041632792,-0.08081654204084775,-0.06820075261108352
54,ssp119,ch4,2020,2074,-0.15355812348979256,-0.13285891474346653,-0.10598941468222267,-0.08202791355794821,-0.06919445853569166
55,ssp119,ch4,2020,2075,-0.15587346987368478,-0.13472057786984779,-0.10757783911321384,-0.0832528055906601,-0.07030224768877279
56,ssp119,ch4,2020,2076,-0.15823226158166076,-0.13653435238245495,-0.1090796272838579,-0.08447445404854693,-0.07126909305153198
57,ssp119,ch4,2020,2077,-0.16058748874372122,-0.13834506107496872,-0.11054878458329775,-0.08569285072976718,-0.07237648788229228
58,ssp119,ch4,2020,2078,-0.16275231860076658,-0.14016818827165428,-0.11199942542663521,-0.08683383842380787,-0.07337404298856265
59,ssp119,ch4,2020,2079,-0.1648536794242619,-0.1419985270243332,-0.11348673254276043,-0.08796749727846732,-0.07439405660602907
60,ssp119,ch4,2020,2080,-0.16694928767429604,-0.14384604024160305,-0.1149017922686395,-0.08913356157036355,-0.07536150620395808
61,ssp119,ch4,2020,2081,-0.1691509049948777,-0.1456801737677217,-0.11637606296738023,-0.09034395544948909,-0.07638992763200214
62,ssp119,ch4,2020,2082,-0.171374262646221,-0.1475456448911052,-0.11780026855653869,-0.09154877008336608,-0.07734506690374446
63,ssp119,ch4,2020,2083,-0.1735045212309057,-0.14939858737488917,-0.11930239887433491,-0.09272311449226349,-0.07834138759207941
64,ssp119,ch4,2020,2084,-0.17552658625342624,-0.15121753955682618,-0.12075044827787185,-0.09391449007837095,-0.07935048873696698
65,ssp119,ch4,2020,2085,-0.17759298093760983,-0.152929842778873,-0.12212672767759081,-0.095076801627798,-0.08024867329301336
66,ssp119,ch4,2020,2086,-0.17974689752063827,-0.15461558278371496,-0.12356343003084058,-0.09622020493063435,-0.08115095672120312
67,ssp119,ch4,2020,2087,-0.18189466673898136,-0.15632945064654308,-0.12497337029594413,-0.09728042764407098,-0.08213539863360483
68,ssp119,ch4,2020,2088,-0.18398681891180702,-0.15813043490273138,-0.1263748401702165,-0.09832135014763811,-0.0830742760845674
69,ssp119,ch4,2020,2089,-0.18599868831621538,-0.1598487341912373,-0.12773009025933457,-0.09949976941009739,-0.08400463092374451
70,ssp119,ch4,2020,2090,-0.18802235430214354,-0.16151763548402895,-0.12910120767744582,-0.10049437585413404,-0.08492496445520985
71,ssp119,ch4,2020,2091,-0.19002625740428017,-0.16316288537364024,-0.13041745579069586,-0.10159865048284288,-0.08586889910465662
72,ssp119,ch4,2020,2092,-0.19201044005970921,-0.1648150802101294,-0.1317943110589913,-0.10262045158865445,-0.08679321734961866
73,ssp119,ch4,2020,2093,-0.19397341166674398,-0.1664450157181829,-0.1331150703841899,-0.1036831025906101,-0.08770935639240102
74,ssp119,ch4,2020,2094,-0.1959129992870463,-0.1680687190693398,-0.13446450729181558,-0.1046874085926712,-0.08861551786495411
75,ssp119,ch4,2020,2095,-0.19782767248289074,-0.169693048715617,-0.13570360087292477,-0.10566802926185179,-0.0895107181442057
76,ssp119,ch4,2020,2096,-0.19971699284803207,-0.17128369016356007,-0.13698607732857981,-0.10661374414524166,-0.09039498394184652
77,ssp119,ch4,2020,2097,-0.20157896669704006,-0.172844381865756,-0.1382166676823653,-0.10761644631004366,-0.0912668042181504
78,ssp119,ch4,2020,2098,-0.20340764079603857,-0.1743198626696475,-0.13940766818370975,-0.1085532142691529,-0.09206793127857972
79,ssp119,ch4,2020,2099,-0.20519691152771907,-0.17589090516588918,-0.14059501421048792,-0.10956959207204382,-0.09280237057869634
80,ssp119,ch4,2020,2100,-0.20691198167135605,-0.1773523504055647,-0.1417634785117744,-0.11045179173937061,-0.09360849237675861
81,ssp119,hfc,2020,2020,0.0,0.0,0.0,0.0,0.0
82,ssp119,hfc,2020,2021,0.0008637481281329684,0.0009825235603443615,0.0011824539346946272,0.0014084052538720292,0.0015858250114272998
83,ssp119,hfc,2020,2022,0.0017550116133998373,0.0019957164228607115,0.00240723843388857,0.0028682899592277432,0.0032335473839790736
84,ssp119,hfc,2020,2023,0.002633208574878676,0.0029835680020776946,0.0036201274051375076,0.004327069215705226,0.004883365315396968
85,ssp119,hfc,2020,2024,0.003428437309664689,0.0038988789142855042,0.004767684073670342,0.0057271487710560095,0.00647221305825405
86,ssp119,hfc,2020,2025,0.004142440125111069,0.0047258879475856296,0.0058190329421854425,0.0070117799501580435,0.007935527127111805
87,ssp119,hfc,2020,2026,0.004719916171898308,0.005430187854243779,0.006746405009138812,0.008163493739575332,0.009274422319162931
88,ssp119,hfc,2020,2027,0.0051809667890916344,0.006005832423770654,0.007519538563373285,0.009153362187426408,0.010474365189835131
89,ssp119,hfc,2020,2028,0.005541660032532603,0.0064216896086911925,0.008133225341792949,0.00997451650787987,0.011452256777599772
90,ssp119,hfc,2020,2029,0.00578118432274044,0.006722828185755585,0.008580836970928596,0.010608727881673427,0.012286910982035909
91,ssp119,hfc,2020,2030,0.005868174256641901,0.006890034430429184,0.008852423455488756,0.011066853827694585,0.012881019854627506
92,ssp119,hfc,2020,2031,0.005855681373729116,0.006875092377312555,0.00897573307845101,0.011308305796509446,0.013272472747193249
93,ssp119,hfc,2020,2032,0.005706476550654571,0.006767378812102551,0.008919606264673252,0.011363426168403086,0.013461663117822284
94,ssp119,hfc,2020,2033,0.005483887851251446,0.006552139311944041,0.008753717906552438,0.011259604644762042,0.013424640659622207
95,ssp119,hfc,2020,2034,0.005187819949745353,0.006265327874991966,0.00848559626272527,0.011068373669740365,0.01328173837169428
96,ssp119,hfc,2020,2035,0.004874881922651087,0.0059499961789339475,0.008172037954613076,0.01082088592659911,0.013026152388645415
97,ssp119,hfc,2020,2036,0.004529426397550207,0.005599378433640041,0.0077999421715597705,0.010463910170515013,0.012656670776459308
98,ssp119,hfc,2020,2037,0.004210728724648782,0.005239038771692242,0.007441043682807402,0.010094142376800787,0.012266858426680426
99,ssp119,hfc,2020,2038,0.0038873930693407834,0.004906334078264187,0.007041490933759498,0.009657563093860526,0.011850784125083091
100,ssp119,hfc,2020,2039,0.0035490832246978243,0.004545870439615269,0.006629689039444386,0.009213179956684279,0.011423148222983667
101,ssp119,hfc,2020,2040,0.003225268517315305,0.0041876833314438856,0.006215459157944858,0.008756364135860553,0.010949533516834852
102,ssp119,hfc,2020,2041,0.0028859283710351404,0.0038369734511600217,0.005780546290186428,0.008251982925165819,0.01045268985959495
103,ssp119,hfc,2020,2042,0.002594220858175245,0.0034781991468622307,0.005360905510035208,0.00779042926185908,0.009948792751250754
104,ssp119,hfc,2020,2043,0.002289431203426551,0.0031258381650166632,0.004938084032323209,0.00728728855923821,0.00940676631015229
105,ssp119,hfc,2020,2044,0.0019632533421026555,0.0027626387504639904,0.004536422693906861,0.00683648851091796,0.00885582900215036
106,ssp119,hfc,2020,2045,0.001691161824950882,0.0024499407961553477,0.0041273650582853705,0.006374047551110813,0.00832398796380378
107,ssp119,hfc,2020,2046,0.0014152501712386913,0.0021412830057477806,0.003726133404861498,0.005924468106628797,0.007835384590113702
108,ssp119,hfc,2020,2047,0.0011495374216311306,0.0018303183428001546,0.003347567544913499,0.0054838929002942564,0.007370226238149021
109,ssp119,hfc,2020,2048,0.0009009854513353234,0.0015411437812652906,0.0030026549136112912,0.0050609928264985626,0.006893252193711503
110,ssp119,hfc,2020,2049,0.0006573544810159149,0.0012698841218819457,0.00266293350388791,0.004656893159054851,0.006490509467783355
111,ssp119,hfc,2020,2050,0.0004252270696368576,0.0010010170551923725,0.0023439341197879493,0.004256410291907375,0.006098224221815847
112,ssp119,hfc,2020,2051,0.00019625710946975528,0.0007536742477463942,0.0020552757561600465,0.003907076955851645,0.005665007915398007
113,ssp119,hfc,2020,2052,-1.4982454479017764e-05,0.0005287893646465135,0.0017667952206288362,0.003604320426955434,0.0052979793002802195
114,ssp119,hfc,2020,2053,-0.00021982568757148428,0.0003197561935768789,0.0014995631870275972,0.0032561976753031365,0.004973226569594754
115,ssp119,hfc,2020,2054,-0.0004293008117909114,0.00011158670550222458,0.001239379390056028,0.002950554442026876,0.004655618352973121
116,ssp119,hfc,2020,2055,-0.0006031772187270689,-8.130551448419343e-05,0.000988083486289426,0.002661322075468169,0.004368968086414159
117,ssp119,hfc,2020,2056,-0.0007798501176531136,-0.0002743150922750548,0.0007699363697344364,0.0023892334621483523,0.0040797256860516315
118,ssp119,hfc,2020,2057,-0.00096050342708629,-0.0004410937276363036,0.0005622181299764772,0.002106187305334144,0.0037840891452960426
119,ssp119,hfc,2020,2058,-0.001126151218596405,-0.0006136666583762462,0.0003484350185511964,0.001879474529284666,0.003525281672049507
120,ssp119,hfc,2020,2059,-0.0012818783397102074,-0.0007916312961846029,0.00016793453805141745,0.0016647746670919261,0.003307765959265783
121,ssp119,hfc,2020,2060,-0.0014465568331570645,-0.0009539637119072175,-1.811681293828471e-05,0.0014586027443618387,0.0030702121321150686
122,ssp119,hfc,2020,2061,-0.001592922023966281,-0.0010908471767781692,-0.00019350491714531515,0.0012763786494402662,0.0028912731213263745
123,ssp119,hfc,2020,2062,-0.0017329244529018517,-0.0012533688513758268,-0.0003590156243680198,0.0010915789623546868,0.002681581632168133
124,ssp119,hfc,2020,2063,-0.001860607663255065,-0.0013840560919600531,-0.0004997149175398619,0.0009233639146184736,0.0024577417837766888
125,ssp119,hfc,2020,2064,-0.0019890947502486877,-0.0015269644602257859,-0.0006387784043586642,0.0007411056916058368,0.002233666175626232
126,ssp119,hfc,2020,2065,-0.0021154461546463387,-0.0016564002288923074,-0.0007764114123420818,0.0005889239595399065,0.002063954125002263
127,ssp119,hfc,2020,2066,-0.0022438584231636582,-0.0017766190831438333,-0.0009118391294822281,0.00046853892995637916,0.0019352715905105
128,ssp119,hfc,2020,2067,-0.002369676848784241,-0.001901244261058821,-0.0010325380834170783,0.0003461751487349396,0.0018102668246682695
129,ssp119,hfc,2020,2068,-0.002474107421588867,-0.002007338868514159,-0.0011391996365162083,0.00022246624857436004,0.0016115198347203131
130,ssp119,hfc,2020,2069,-0.0025880068492889043,-0.002116742732815222,-0.0012420548923379737,0.00010140244768142461,0.0015049730528599245
131,ssp119,hfc,2020,2070,-0.0027031938705439186,-0.0022107272131625067,-0.0013353207831046099,6.650566895167767e-06,0.0013959719243511685
132,ssp119,hfc,2020,2071,-0.0027997638002911886,-0.0023114118918389883,-0.0014263366980096226,-8.425258647084099e-05,0.0012911375925627304
133,ssp119,hfc,2020,2072,-0.0028943611748399878,-0.0024057241046985833,-0.0015177966387087682,-0.00017475043023352122,0.0012006986033107564
134,ssp119,hfc,2020,2073,-0.002986639779158917,-0.0024855891013620913,-0.0016010546367768441,-0.0002465023218447548,0.0011175470581947773
135,ssp119,hfc,2020,2074,-0.0030736508187292344,-0.0025741521248266873,-0.0016794837850298006,-0.0003152561549602239,0.0010151122773969226
136,ssp119,hfc,2020,2075,-0.003166268646442205,-0.0026575568093648093,-0.0017472261700084424,-0.00038011681338922187,0.0009652719521174169
137,ssp119,hfc,2020,2076,-0.003250172998804013,-0.0027310234022980408,-0.0018057093222227927,-0.00042631499949479234,0.0009060658508425398
138,ssp119,hfc,2020,2077,-0.0033271458806154895,-0.0027935597644875897,-0.0018759207758920482,-0.00048183627476308997,0.0008691043760915558
139,ssp119,hfc,2020,2078,-0.0033949770960197243,-0.002858675879008068,-0.0019370426305991284,-0.000538768515994299,0.0008321587515661474
140,ssp119,hfc,2020,2079,-0.0034630896556456124,-0.0029110776061339206,-0.0019891189273104626,-0.0005849947330815741,0.0007790682741989972
141,ssp119,hfc,2020,2080,-0.0035142965972267516,-0.0029748943803997287,-0.0020400204237072117,-0.0006119742622602242,0.0007458420837765252
142,ssp119,hfc,2020,2081,-0.0035695278547049902,-0.003032167112561428,-0.002086872904327075,-0.0006645712801604287,0.0007289269916539872
143,ssp119,hfc,2020,2082,-0.0036170676503203933,-0.003082351234541143,-0.0021255281423071537,-0.0007096249118512519,0.0006855024126501948
144,ssp119,hfc,2020,2083,-0.003663900130985631,-0.0031289639377148327,-0.0021697573849619456,-0.0007408979035747976,0.0006377948000644269
145,ssp119,hfc,2020,2084,-0.003716372406561419,-0.00316452532412705,-0.002203455943941668,-0.0007708135477830246,0.0006010830417491508
146,ssp119,hfc,2020,2085,-0.003776694944181802,-0.0032081832183213877,-0.002235440256042942,-0.0007920444266686477,0.0005706503963381639
147,ssp119,hfc,2020,2086,-0.00382465822337994,-0.0032456022979812805,-0.00226858577220157,-0.0008097542515234046,0.000560833678719014
148,ssp119,hfc,2020,2087,-0.0038765291904760526,-0.003284695657288248,-0.0022977012560081445,-0.0008274876700481482,0.0005587555761321144
149,ssp119,hfc,2020,2088,-0.003917725298277519,-0.0033214864225944397,-0.0023254564758503626,-0.0008467751760419429,0.0005579618322411446
150,ssp119,hfc,2020,2089,-0.003950040780263553,-0.0033572552077133634,-0.0023523761255452857,-0.0008635389190896259,0.0005545370648391431
151,ssp119,hfc,2020,2090,-0.0039861663148693435,-0.0033865563596093295,-0.0023752212373393533,-0.0008863271576972398,0.0005569091317686209
152,ssp119,hfc,2020,2091,-0.004014869452377922,-0.0034162333448356018,-0.0024003902204352556,-0.0008993307733802336,0.0005564042587105516
153,ssp119,hfc,2020,2092,-0.0040438843570185234,-0.0034509219244288846,-0.0024218530617616807,-0.0009059536524204503,0.0005517477102715763
154,ssp119,hfc,2020,2093,-0.0040737757566095215,-0.0034791923962696992,-0.0024353325524177905,-0.0009203614682013939,0.0005461955908188984
155,ssp119,hfc,2020,2094,-0.004102008066240215,-0.003509417247257951,-0.0024569063814769976,-0.0009386103998053752,0.0005362209477933524
156,ssp119,hfc,2020,2095,-0.004134357094038465,-0.003529393597325292,-0.002482949903846121,-0.0009442981150792651,0.0005286385834903033
157,ssp119,hfc,2020,2096,-0.004160183765300118,-0.0035617859272021593,-0.0025027284181400322,-0.0009508957721229283,0.0005208429974166145
158,ssp119,hfc,2020,2097,-0.004192075847219723,-0.0035850619500374403,-0.0025231433337125075,-0.000962252217643833,0.000517295604931032
159,ssp119,hfc,2020,2098,-0.004222068779362642,-0.0036104349964877704,-0.002537999181934314,-0.0009710253858745065,0.0005042735254477733
160,ssp119,hfc,2020,2099,-0.004254349487121401,-0.0036393020100669825,-0.0025563173460605437,-0.0009945718601536856,0.0004997826648315916
161,ssp119,hfc,2020,2100,-0.004287283136208364,-0.0036703012917081246,-0.0025787014375047157,-0.000999516824737663,0.0004934073678515675
162,ssp119,o3,2020,2020,0.0,0.0,0.0,0.0,0.0
163,ssp119,o3,2020,2021,-0.0037112839475232475,-0.003126603151178289,-0.0023148770026408805,-0.0015657749167020717,-0.0011063241417547563
164,ssp119,o3,2020,2022,-0.009057119503702759,-0.007672606192241278,-0.0056984024618100815,-0.003912576052491135,-0.0027461789789592133
165,ssp119,o3,2020,2023,-0.01563475545301094,-0.013315460292428477,-0.009892040271242464,-0.006837705974495449,-0.0047743349138960785
166,ssp119,o3,2020,2024,-0.023240189855715875,-0.019799031825790268,-0.01473772827320552,-0.01016702853190501,-0.007072108343387364
167,ssp119,o3,2020,2025,-0.031673321093170025,-0.026954106660295993,-0.020085128639937277,-0.013867120664143182,-0.00963901162476739
168,ssp119,o3,2020,2026,-0.04078449625597251,-0.03474272787479763,-0.025831520770280836,-0.017983823007329376,-0.012419673227944142
169,ssp119,o3,2020,2027,-0.05055662669535623,-0.043124572267427025,-0.03200073181328489,-0.022308037251923228,-0.01539369476782231
170,ssp119,o3,2020,2028,-0.060893874630656916,-0.05216999559221355,-0.03850300417833741,-0.026587622245891306,-0.018561823822359626
171,ssp119,o3,2020,2029,-0.0718518899973311,-0.06136143578131837,-0.04520046934465638,-0.03116638389058701,-0.021759780935395465
172,ssp119,o3,2020,2030,-0.08321355238774522,-0.07102783677325489,-0.05216740273943299,-0.03611346570303709,-0.02512111658432616
173,ssp119,o3,2020,2031,-0.09393733683493925,-0.07992202020213073,-0.05871675787973607,-0.040489430108404646,-0.028160353115636517
174,ssp119,o3,2020,2032,-0.1034760728339846,-0.08791972355281259,-0.06427317877148031,-0.044149352054312994,-0.030948999403941493
175,ssp119,o3,2020,2033,-0.1118365380018727,-0.09449084582530809,-0.06892193218121334,-0.047296654050937886,-0.03329991657053385
176,ssp119,o3,2020,2034,-0.11920321979259593,-0.10062390986634585,-0.07322141638996316,-0.05020423037182275,-0.03553661714963652
177,ssp119,o3,2020,2035,-0.12608819314838776,-0.10587216558227905,-0.07725246985272083,-0.0526866414925776,-0.0371429539455539
178,ssp119,o3,2020,2036,-0.13268713750659994,-0.11122853014291344,-0.0807112542473074,-0.05487864871339021,-0.03859364362271683
179,ssp119,o3,2020,2037,-0.13886665050181296,-0.11635761447457357,-0.08409802239936259,-0.05701379428694179,-0.040339120511988756
180,ssp119,o3,2020,2038,-0.14451675302292777,-0.12138261819962942,-0.08718539669483283,-0.059013245812348465,-0.04186370005603829
181,ssp119,o3,2020,2039,-0.14951836721377845,-0.12576956331018221,-0.09027132287132056,-0.06088777806905229,-0.04322606338034159
182,ssp119,o3,2020,2040,-0.15485142201468882,-0.13000682125658797,-0.09304244293477604,-0.06265318669185362,-0.04472381663963905
183,ssp119,o3,2020,2041,-0.15963472860162256,-0.13411926324218643,-0.09575876558465679,-0.0644923858960843,-0.04607459201909714
184,ssp119,o3,2020,2042,-0.16417746668787034,-0.13824127866051267,-0.09835370861082948,-0.06635360225917113,-0.047275267102811803
185,ssp119,o3,2020,2043,-0.16900159341357993,-0.14219588728975185,-0.10083464609753656,-0.06805266654897428,-0.048448633663572944
186,ssp119,o3,2020,2044,-0.1735806578746171,-0.14565902805999123,-0.10332654357097382,-0.06972751776748497,-0.049619549472615196
187,ssp119,o3,2020,2045,-0.17789527953042572,-0.149309777060418,-0.10578337372161428,-0.07129601116181436,-0.05077439586087028
188,ssp119,o3,2020,2046,-0.18193012816566315,-0.15300233193253096,-0.10817120661513768,-0.07291769355720136,-0.05192152635642081
189,ssp119,o3,2020,2047,-0.18592319052495132,-0.15663040192484992,-0.11056678304161727,-0.07452249689899056,-0.0530661715663719
190,ssp119,o3,2020,2048,-0.19071464144057165,-0.16027502113811548,-0.11293220023487216,-0.07612632246554075,-0.05422933076058921
191,ssp119,o3,2020,2049,-0.19487445315744573,-0.16365544923760167,-0.11530981578573463,-0.07771391939711139,-0.055390836890512045
192,ssp119,o3,2020,2050,-0.19897337442611626,-0.16701042563904406,-0.1178229757560616,-0.07928975625595464,-0.056537956063107006
193,ssp119,o3,2020,2051,-0.20290839087145976,-0.17011387985535312,-0.11999852471678996,-0.08069270700645222,-0.05760367148352331
194,ssp119,o3,2020,2052,-0.20626703148649841,-0.17285843951740976,-0.12192886105035283,-0.08187279886490686,-0.058542183813701486
195,ssp119,o3,2020,2053,-0.20926130251956748,-0.17556285971979924,-0.12360259057215484,-0.08298337584594978,-0.05934824553566402
196,ssp119,o3,2020,2054,-0.21205722208159594,-0.17775119857852573,-0.1252382497848168,-0.08388339785092512,-0.06001494823322459
197,ssp119,o3,2020,2055,-0.2147185137599405,-0.17986762558349265,-0.1264946991021122,-0.08467914719194952,-0.060657111051747134
198,ssp119,o3,2020,2056,-0.21692788234396665,-0.1817035444393416,-0.12759837653316752,-0.08543804436013107,-0.06128307656862225
199,ssp119,o3,2020,2057,-0.21892277058440437,-0.18343213410431208,-0.12878191915997372,-0.08614914197451042,-0.06183288786766585
200,ssp119,o3,2020,2058,-0.22089606357098987,-0.1851998294303851,-0.1300467134816179,-0.08687889655761007,-0.0623131658737186
201,ssp119,o3,2020,2059,-0.22276781239467683,-0.18684169055076005,-0.1312419343699487,-0.08755921889890239,-0.06278005969579876
202,ssp119,o3,2020,2060,-0.22489289914066632,-0.18845862710974334,-0.13237451356159524,-0.08816926162232788,-0.06323349094535002
203,ssp119,o3,2020,2061,-0.2265391013452094,-0.18978304383875408,-0.13342064469174542,-0.08875922248984497,-0.0636434947779298
204,ssp119,o3,2020,2062,-0.22798563727732626,-0.19101036688181788,-0.13422094318978894,-0.08932457555439617,-0.0639950770075567
205,ssp119,o3,2020,2063,-0.2293682408892175,-0.1920758863252224,-0.13487544466676393,-0.08970984031613446,-0.06430525029880445
206,ssp119,o3,2020,2064,-0.2307175240113355,-0.1930083251717623,-0.13541354104133574,-0.09022441326614805,-0.06453661352586064
207,ssp119,o3,2020,2065,-0.2319506716745426,-0.19386916114444636,-0.13601185927060921,-0.09069465697840405,-0.06475507783249354
208,ssp119,o3,2020,2066,-0.2330105102215585,-0.19466030906352777,-0.1366479634608806,-0.09106556481450048,-0.06498252668182705
209,ssp119,o3,2020,2067,-0.234111279174336,-0.19561495756405745,-0.1371777544980084,-0.09141229272776832,-0.06524521660123318
