Model,ERFari,ERFaci,ERFari+aci
ACCESS-CM2,-0.23525910746518378,-0.9343836593326343,-1.1696427667978182
CanESM5,-0.022019915051662564,-1.0923835223335208,-1.1144034373851834
CESM2,0.1536403744677395,-1.6526854927433474,-1.499045118275608
CNRM-CM6-1,-0.27566775367993923,-0.860186830717156,-1.1358545843970953
CNRM-ESM2-1,-0.14888805472694008,-0.6370165158627853,-0.7859045705897254
EC-Earth3,-0.38898536856967614,-0.503320170430892,-0.8923055390005682
GFDL-CM4,-0.11805175547393928,-0.7180916659976826,-0.8361434214716219
GFDL-ESM4,-0.05797563016607093,-0.84418811620847,-0.9021637463745409
GISS-E2-1-G p1,-0.5489305749151261,-0.8090616401613461,-1.357992215076472
GISS-E2-1-G,-0.6374136584237927,-0.3863082100799707,-1.0237218685037635
HadGEM3-GC31-LL,-0.2903731208793607,-0.8748076734774746,-1.1651807943568353
IPSL-CM6A-LR,-0.38990297028640747,-0.29382715133086157,-0.6837301216172691
MIROC6,-0.21742262234585483,-0.7676350742431862,-0.9850576965890411
MPI-ESM1-2-LR,,,
MRI-ESM2-0,-0.4815533857466109,-0.7386834915768918,-1.2202368773235026
NorESM2-LM,-0.1480411927774008,-1.0812273485447526,-1.2292685413221534
NorESM2-MM,-0.02677165577261245,-1.2648841060068805,-1.291655761779493
UKESM1-0-LL,-0.19953816948965916,-0.9861342851469928,-1.185672454636652
CMIP6 mean,-0.23724438595897043,-0.8496955855408732,-1.0869399714998436
CMIP6 range,0.3378306877525172,0.5334995175537497,0.3564988116205995
CMIP5 mean,-0.266,-0.9648333333333335,-1.2308333333333334
CMIP5 range,0.35441729460484117,0.5452110170769384,0.4772940547359223
